pid,arrival_time,burst_time,finish_time,turnaround_time,waiting_time,response_time,queue_level,demotion_count,promotion_count,max_waiting_streak
1,10,1,23,13,12,12,0,0,0,12
2,17,16,298,281,265,30,0,0,0,102
3,14,22,381,367,345,29,0,0,0,92
4,50,4,153,103,99,99,0,0,0,99
5,11,15,248,237,222,16,0,0,0,91
6,11,33,459,448,415,20,0,0,0,89
7,43,3,123,80,77,77,0,0,0,77
8,6,7,54,48,41,8,0,0,0,33
9,2,56,520,518,462,0,0,0,0,87
10,10,4,27,17,13,13,0,0,0,13
11,22,11,239,217,206,44,0,0,0,91
12,36,28,435,399,371,58,0,0,0,89
13,44,5,220,176,171,87,0,0,0,87
14,11,20,319,308,288,24,0,0,0,87
15,47,37,512,465,428,96,0,0,0,96
16,19,4,58,39,35,35,0,0,0,35
17,24,10,241,217,207,46,0,0,0,91
18,39,27,438,399,372,65,0,0,0,87
19,45,4,139,94,90,90,0,0,0,90
20,4,12,66,62,50,2,0,0,0,40
21,24,46,530,506,460,50,0,0,0,91
22,31,6,179,148,142,51,0,0,0,91
23,42,10,274,232,222,70,0,0,0,87
24,21,26,423,402,376,37,0,0,0,95
25,49,2,149,100,98,98,0,0,0,98
26,39,16,327,288,272,69,0,0,0,87
27,43,54,548,505,451,80,0,0,0,84
28,36,2,100,64,62,62,0,0,0,62
29,31,13,307,276,263,55,0,0,0,89
30,43,59,555,512,453,84,0,0,0,84
